question,faithfulness_score,faithfulness_reason,answer_relevancy_score,answer_relevancy_reason,contextual_precision_score,contextual_precision_reason,answer,ground_truth,contexts
cual es el torque y potencia maxima que tiene la moto,0.6666666666666666,"The score is 0.67 because the actual output incorrectly mentions the fuel efficiency of the Boxer CT100 KS, which was not mentioned in the retrieval context.",0.75,"The score is 0.75 because the answer only partially addresses the input question, with a minor irrelevant statement about the motorcycle's range.",0,"The score is 0.00 because the first four nodes are all irrelevant to the input question 'cual es el torque y potencia maxima que tiene la moto', as they do not provide specific information about the motorcycle's performance characteristics.","La Bajaj Boxer CT100 KS tiene un motor de 4 tiempos refrigerado por aire natural, con una potencia líder en su clase. Desafortunadamente, no tengo información específica sobre el torque y la potencia máxima en el contexto proporcionado. Sin embargo, puedo decirte que la motocicleta tiene una eficiencia de combustible de 55 kmpl, lo que te permite recorrer aproximadamente más de 500 km con el tanque lleno. Si necesitas información más detallada, te recomiendo consultar el manual del propietario o la página oficial de Bajaj para obtener especificaciones técnicas precisas.",Potencia: 7.59 HP a 7.500 RPM. Torque: 8.24 Nm a 5.500 RPM.,"de manera segura. • Revise la tensión de la cadena de 20 a 30 mm y
• Lleve siempre los documentos de la motocicleta que esté bien lubricada.
vigentes y una licencia válida de conducción. • Funcionamiento de todas las luces y bocina.
• Evite manejar sobre arena suelta o piedras, • Movimiento suave de la dirección sin restricciones.
donde el vehículo podría patinar. • Juego libre en la palanca de embrague de 2 a 3 mm.
• Sujete adecuadamente la ropa suelta mientras • Regreso del estante central y l..."
cada cuanto es recomendable cambiarle el aceite a la moto y cuanto debo echarle,0.8,"The score is 0.80 because the only contradiction found is that the actual output does not provide a specific range for the oil level, which differs from the retrieval context's suggestion of a range within the gauge's upper and lower marks.",1.0,"The score is 1.00 because the response directly addresses the question about when and how much oil to change in a motorcycle, with no irrelevant statements.",1.0,"The score is 1.00 because irrelevant nodes are correctly ranked lower than the relevant node, which is the first node in the retrieval context (node 1) that correctly identifies the importance of changing the motorcycle oil.","Para la Bajaj Boxer CT100 KS, se recomienda cambiar el aceite cada 5.000 a 5.500 kms o cada 3 meses, lo primero que se cumpla. Es importante utilizar aceite genuino BAJAJ o uno de iguales o mejores características. Además, es fundamental mantener el nivel adecuado del lubricante y revisar periódicamente el nivel de aceite, que debe estar entre la marca superior y la marca inferior de la mirilla. La cantidad de aceite a agregar no se especifica en el contexto proporcionado, por lo que te recomiendo consultar el manual del propietario o la página oficial de Bajaj para obtener información precisa.","Cada 5.000 a 5.500 km o cada 3 meses. Cantidad: 1.000 cc (cambio normal), 1.100 cc (con desensamble).","Cadena - Aceite de Motor
IMPORTANTE
Antes de encender el moto
aceite 4T es el adecuado. Ver sección: ACEITE MOTOR
ACEITE DEL MOTOR: Revisar cada semana
• Mantenga el nivel de aceite entre
la marca superior y la marca inferior
de la mirilla.
• Cambie el aceite como lo indica la
tabla de mantenimiento periódico.
Cadena: Inspección nivel de aceite :
El ajuste de la cadena debe ser realizado siempre que sea 1.
requerido (realice constantemente la inspección de esta). nivelada en el estante central.
..."
cual es la elongadura recomendada de la cadena y cada cuanto debo cambiar el kit de arrastre,0.8333333333333334,"The score is 0.83 because the main contradiction is a discrepancy in the maximum power RPM from the actual output (claiming 7500) compared to the retrieval context (stating 5500), which deviates significantly, but not overwhelmingly, from the overall faithfulness.",0.6666666666666666,"The score is 0.67 because although the actual output provides some relevant information, it also includes statements that are not directly addressing the question about recommended chain elongation and kit replacement frequency, as evident from the provided reasons.",0.08333333333333333,"The score is 0.08 because even though irrelevant nodes (nodes 1 to 10) are correctly ranked lower than the relevant node (node 11), the ranking difference between them is not significant, resulting in a relatively low contextual precision score.","La Bajaj Boxer CT100 KS tiene una cadena que requiere mantenimiento regular para asegurar un rendimiento óptimo. Desafortunadamente, no tengo información específica sobre la elongación recomendada de la cadena en el contexto proporcionado. Sin embargo, puedo decirte que es importante revisar periódicamente la cadena y ajustarla según sea necesario para evitar problemas de desgaste prematuro.

En cuanto al kit de arrastre, no tengo información sobre la frecuencia recomendada para cambiarlo en la Bajaj Boxer CT100 KS. Te recomiendo consultar el manual del propietario o la página oficial de Bajaj para obtener información precisa sobre el mantenimiento y la sustitución de piezas en tu motocicleta.

Es importante mencionar que la Bajaj Boxer CT100 KS tiene un cilindraje de 102 CC, una potencia máxima de 7.59 HP a 7500 RPM y un torque máximo de 8.24 NM a 5500 RPM, según la información proporcionada en el contexto. Sin embargo, no hay información específica sobre la elongación de la cadena o la frecuencia de cambio del kit de arrastre.",Holgura recomendada entre 20 y 30 mm. Lubricar cada 500 km. Cambiar el kit cuando haya desgaste visible.,"DESCUBRE MOTOS SIMILARES
SIMILARESAESTAMOTO
Ver todas 5
44 55
BOXER S BOXER CT100 ES
Ver más Ver más
Boxer CT100 KS
PRECI
VER AHORRO
O Cotizar $
*Modelo 2026. Precio referencial y
VIGENTE
$5.899.
sujeto a cambios.
Cotizar $ Crédito $ *Aplican términos y 000
Crédito $
condiciones.

BOXER CT100 KS
LAPROPIAPA’AHORRAR
Con la Boxer CT100 KS descubre la combinación perfecta de economía,
confiabilidad y estilo.
SELECCIONA EL COLOR:
¡Dale un giro a tu próxima moto Bajaj!
Boxer CT100 KS
PRECI
VER AHORRO
..."
en que parte puedo encontrar la bateria de la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.75,"The score is 0.75 because the actual output only partially addresses the user's question about where to find the motorcycle battery, but includes an irrelevant statement about the warranty duration or mileage not being a feature of the battery itself.",0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,"La batería de la Bajaj Boxer CT100 KS se encuentra ubicada en el interior de la cubierta izquierda. Es importante mencionar que también hay un kit de herramientas ubicado al lado de la batería, que debe ser sujeto bien con una banda elástica para evitar que se caiga. Si necesitas más información sobre la batería, como su garantía, puedo decirte que cuenta con una garantía de 6 meses o 6.000 km, lo primero que ocurra a partir de la fecha de entrega de la motocicleta.",Está ubicada en el interior de la cubierta lateral izquierda.,"Batería Bujía
La batería se encuentra ubicada en • Quite la bujía usando la
el interior de la cubierta izquierda. herramienta adecuada.
Cuide del Medio Ambiente entregando • Limpie la bujía.
la batería utilizada al centro de • Ajuste la calibración doblando
servicio UMA para su correcta el electrodo lateral con cuidado.
disposición final.
REFERENCIA
Calibración: 0,6 - 0,7 mm
• Cuando la batería está Bujías : Mico UR 3 AC o
descargada, llévela a recargar. Champion PRZ 9 HC
LLANTAS
PRECAUCIÓN:
Man..."
en que parte puedo encontrar el serial del chasis y el del motor de la moto,1.0,"The score is 1.00 because there are no contradictions found, indicating that the 'actual output' perfectly aligns with the information presented in the 'retrieval context'.",0.75,"The score is 0.75 because the actual output contains irrelevant information about finding serial numbers on a motorcycle's chassis and motor, which doesn't directly relate to the input question.",0.3333333333333333,"The score is 0.33 because even though irrelevant nodes are ranked lower than relevant ones, some 'no' verdicts still appear before the first 'yes' verdict, indicating that there's room for improvement.","Para encontrar el número de serie del chasis y el número de serie del motor de la Bajaj Boxer CT100 KS, puedes seguir estos pasos:

- El número de serie del chasis se ubica en la parte frontal derecha del chasis, justo en frente del tanque de combustible.
- El número de serie del motor se encuentra en la parte inferior del motor, del lado izquierdo, justo debajo de la palanca de cambios.

Espero que esta información te sea útil. Si necesitas más detalles, no dudes en preguntar.","VIN: parte frontal derecha del chasis. Motor: parte inferior izquierda, debajo de la palanca de cambios.","Tablas:
Desplazamiento -102 cc
EN ESPAÑOL
Tipo de motor -4 tiempos, monocilíndrico, SOHC
Potencia máxima -7.59 Ps @ 7500 rpm
Home / Bikes / Boxer Ct 100 Ks
Par máximo -8.24 Nm @ 5500 rpm
Frenos y neumáticos
Frenos delanteros -Tambor 110 mm
Neumáticos delanteros -2.75-17, tipo de tubo 41P
Frenos traseros -Tambor 110 mm
Neumáticos traseros -3.00-17, tipo de tubo 50P
Electricidad
Batería -12 V, 3 Ah MF
Faros -12V 35/35 W
Vehículo
Tanque de combustible -10,5 L
Distancia al suelo -169 milímetros
Peso..."
cuanta gasolina le cabe a la moto,0.5,"The score is 0.50 because there are two contradictions in the actual output: one that states the engine will shut off when the fuel level is less than 1.2 liters, which contradicts the retrieval context's information about the motorcycle's 10.5 L fuel tank capacity, and another claim emphasizing maintaining an adequate fuel level to avoid interruptions during travel, but this statement does not actually contradict the retrieval context's information.",0.6666666666666666,"The score is 0.67 because although the answer mostly addresses the input question about how much gasoline a motorcycle can hold, it also includes an irrelevant statement about a motorcycle shutting off, which detracts from the overall relevance.",0,"The score is 0.00 because all the nodes (1st, 2nd, and 3rd) are incorrectly ranked as relevant when they should be considered irrelevant to determining how much gasoline a motorcycle can hold.","La Bajaj Boxer CT100 KS tiene un tanque de combustible con una capacidad de 10,5 litros. Esto te permite tener una autonomía considerable para recorrer largas distancias sin necesidad de reabastecer combustible con frecuencia. Recuerda que, según el grifo de combustible, la motocicleta se apagará si la cantidad de combustible es menor a 1,2 litros, por lo que es importante mantener un nivel adecuado de combustible para evitar interrupciones en tu viaje.",Capacidad total: 10.5 litros. Reserva: 2.3 litros.,"Grifo de combustible
desde el tanque hasta el carburador, este tiene 3 posiciones.
ON:
cantidad sea mayor a 1,2 litros, cuando la cantidad sea
menor a la mencionada la motocicleta se apagará.
Tapa del tanque de combustible
Para abrir la tapa del depósito de combustible, inserte
RES:
la llave en la cerradura y gírela hacia la derecha y
es menor a 1,2 litros, debe abastecer combustible lo
levante la tapa del tanque de combustible.
antes posible.
La tapa se cierra empujándola hacia abajo.
OFF:
. 17..."
en donde se encuentra la llave de gasolina de la moto,0.75,"The score is 0.75 because the actual output contains a subtle difference between 'Bajaj' and 'La Bajaj', which is not mentioned in the retrieval context.",0.75,"The score is 0.75 because despite the input asking about the location of the motorcycle's gasoline key, the actual output seems to have a completely unrelated statement about fuel tank capacity.",0,"The score is 0.00 because all nodes in the retrieval contexts are ranked lower than they should be due to irrelevant reasons like lack of relevant keywords ('motor', 'tanque de combustible' or 'gasolina') and unrelated information about motorcycle features, specifications, and dimensions. Nodes #1-6 could not provide any relevant information about the location of the gas tank, resulting in a perfect match for irrelevant nodes.","La Bajaj Boxer CT100 KS no tiene una llave de gasolina tradicional. En su lugar, el tanque de combustible se abre con una tapa que se encuentra en la parte superior del tanque, y se puede abrir girándola hacia la izquierda. No se requiere una llave específica para abrir el tanque de gasolina. El tanque de combustible tiene una capacidad de 10,5 litros.","Está en el lateral del motor. Posiciones: ON, RES y OFF.","BOXER CT100 KS
LAPROPIAPA’AHORRAR
Con la Boxer CT100 KS descubre la combinación perfecta de economía,
confiabilidad y estilo.
SELECCIONA EL COLOR:
¡Dale un giro a tu próxima moto Bajaj!
Boxer CT100 KS
PRECI
VER AHORRO
O Cotizar $
*Modelo 2026. Precio referencial y
VIGENTE
$5.899.
sujeto a cambios.
Cotizar $ Crédito $ *Aplican términos y 000
Crédito $
condiciones.

Tablas:
BOXER CT100 KS
LAPROPIAPA’AHORRAR
Con la Boxer CT100 KS descubre la combinación perfecta de economía,
confiabilidad y estilo...."
cuales son las especificaciones de la bateria,0.75,"The score is 0.75 because although there are some discrepancies between the actual output and the retrieval context, the main issue arises from a topic that was not covered in the retrieval context (battery warranty or disposal).",0.75,"The score is 0.75 because although the answer provided relevant information about the battery's specifications, it also included irrelevant details such as warranty information and delivery date that were not requested in the input.",0.3333333333333333,"The score is 0.33 because even though irrelevant nodes were ranked lower than the relevant node, there are still a significant number of 'no' verdicts that should be ranked lower due to talking about maintaining and advertising motorcycles without providing specifications, while only the third node talks about actual specifications ('SA galgo', ranking 3rd).","La Bajaj Boxer CT100 KS tiene una batería ubicada en el interior de la cubierta izquierda. La garantía de la batería es de 6 meses o 6.000 km, lo primero que ocurra a partir de la fecha de entrega de la motocicleta. Es importante mencionar que cuando la batería está descargada, se debe llevar a recargar. También se recomienda cuidar del medio ambiente entregando la batería utilizada al centro de servicio UMA para su correcta disposición final. Sin embargo, no tengo información específica sobre las especificaciones técnicas de la batería, como su capacidad o tipo, en el contexto proporcionado.","12V, 3Ah, tipo MF (libre de mantenimiento).","Batería Bujía
La batería se encuentra ubicada en • Quite la bujía usando la
el interior de la cubierta izquierda. herramienta adecuada.
Cuide del Medio Ambiente entregando • Limpie la bujía.
la batería utilizada al centro de • Ajuste la calibración doblando
servicio UMA para su correcta el electrodo lateral con cuidado.
disposición final.
REFERENCIA
Calibración: 0,6 - 0,7 mm
• Cuando la batería está Bujías : Mico UR 3 AC o
descargada, llévela a recargar. Champion PRZ 9 HC
LLANTAS
PRECAUCIÓN:
Man..."
cuantas marchas tiene la moto,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,1.0,"The score is 1.00 because the input 'cuantas marchas tiene la moto' seems to be directly addressed and relevantly responded to by the actual output, with no irrelevant statements present.",0,"The score is 0.00 because the first node ranks a completely irrelevant topic ('Boxer CT100 KS motorcycle and its features') lower than the correct answer ('cuantas marchas tiene la moto'), indicating that the relevant nodes should be ranked higher.",La Bajaj Boxer CT100 KS tiene una transmisión de 4 velocidades. Esto significa que cuenta con 4 marchas para ofrecer una conducción suave y eficiente en diferentes condiciones de manejo.,Tiene 4 velocidades.,"BOXER CT100 KS
LAPROPIAPA’AHORRAR
Con la Boxer CT100 KS descubre la combinación perfecta de economía,
confiabilidad y estilo.
SELECCIONA EL COLOR:
¡Dale un giro a tu próxima moto Bajaj!
Boxer CT100 KS
PRECI
VER AHORRO
O Cotizar $
*Modelo 2026. Precio referencial y
VIGENTE
$5.899.
sujeto a cambios.
Cotizar $ Crédito $ *Aplican términos y 000
Crédito $
condiciones.

Tablas:
BOXER CT100 KS
LAPROPIAPA’AHORRAR
Con la Boxer CT100 KS descubre la combinación perfecta de economía,
confiabilidad y estilo...."
cada cuanto debo realizarle un mantenimiento preventivo o uno correctivo,0.0,Error: Evaluation LLM outputted an invalid JSON. Please use a better evaluation model.,0.75,"The score is 0.75 because the answer partially addresses the input, but the irrelevant statement about the lack of context for determining whether it's preventive or corrective maintenance brings down the overall relevance.",0.5,"The score is 0.50 because irrelevant nodes, such as the one ranked 1 ('node' with reason: The text does not mention anything about maintenance schedules or frequencies.), are correctly ranked lower than relevant nodes, like the one ranked 2 (the 'node' that explicitly states the recommended frequency of 5,000 km), while maintaining a balance between ranking and recall.","La Bajaj Boxer CT100 KS requiere un mantenimiento preventivo cada 5.000 km o cada 3 meses, lo primero que se cumpla. Es importante utilizar aceite genuino BAJAJ y mantener el nivel adecuado del lubricante. También se recomienda revisar periódicamente el nivel de aceite y ajustar la cadena según sea necesario. Desafortunadamente, no tengo información específica sobre el mantenimiento correctivo en el contexto proporcionado. Te recomiendo consultar el manual del propietario o la página oficial de Bajaj para obtener información precisa sobre el mantenimiento y la sustitución de piezas en tu motocicleta.",Preventivo cada 5.000 km. Correctivo depende del desgaste. Es recomendable hacerlo en centros UMA.,"BOXER CT100 KS
LAPROPIAPA’AHORRAR
Con la Boxer CT100 KS descubre la combinación perfecta de economía,
confiabilidad y estilo.
SELECCIONA EL COLOR:
¡Dale un giro a tu próxima moto Bajaj!
Boxer CT100 KS
PRECI
VER AHORRO
O Cotizar $
*Modelo 2026. Precio referencial y
VIGENTE
$5.899.
sujeto a cambios.
Cotizar $ Crédito $ *Aplican términos y 000
Crédito $
condiciones.

Tablas:
BOXER CT100 KS
LAPROPIAPA’AHORRAR
Con la Boxer CT100 KS descubre la combinación perfecta de economía,
confiabilidad y estilo...."
